epoch,qtcn1_train_loss,qtcn1_train_auc,qtcn1_val_loss,qtcn1_val_auc,qtcn1_test_loss,qtcn1_test_auc,qtcn2_train_loss,qtcn2_train_auc,qtcn2_val_loss,qtcn2_val_auc,qtcn2_test_loss,qtcn2_test_auc,tcn_train_loss,tcn_train_auc,tcn_val_loss,tcn_val_auc,tcn_test_loss,tcn_test_auc,qlstm_train_loss,qlstm_train_auc,qlstm_val_loss,qlstm_val_auc,qlstm_test_loss,qlstm_test_auc
15,0.690373121,0.706549837,0.690923989,0.681004845,0.628752102,0.746369376,0.65840004,0.758503694,0.669534665,0.699445226,0.638936541,0.762036306,0.68542114,0.613418496,0.690529644,0.565713393,0.618680602,0.682951855,,,,,,
16,0.689161665,0.720957828,0.689809543,0.681082982,0.628752102,0.746369376,0.65544867,0.761722424,0.666656357,0.706751055,0.638936541,0.762036306,0.684216146,0.625975672,0.690035838,0.5705579,0.618680602,0.682951855,,,,,,
17,0.687146721,0.739275687,0.687981343,0.677410533,0.628752102,0.746369376,0.652669964,0.763137014,0.664826059,0.705188311,0.638936541,0.762036306,0.683221492,0.617620976,0.68974368,0.571808095,0.618680602,0.682951855,,,,,,
18,0.684279969,0.739966825,0.685560948,0.678856071,0.628752102,0.746369376,0.65123897,0.763808406,0.662453091,0.714955462,0.638936541,0.762036306,0.681084514,0.632687792,0.689051235,0.576222847,0.618680602,0.682951855,,,,,,
19,0.68100542,0.733577835,0.683067429,0.680262541,0.628752102,0.746369376,0.648726134,0.76904131,0.659820139,0.718120019,0.638936541,0.762036306,0.680737438,0.636035774,0.688330263,0.580403188,0.618680602,0.682951855,,,,,,
20,0.677145759,0.738609681,0.679892206,0.680262541,0.628752102,0.746369376,0.646051187,0.768890517,0.658399713,0.723784966,0.638936541,0.762036306,0.677738076,0.643923727,0.687917268,0.582200344,0.618680602,0.682951855,,,,,,
21,0.672377443,0.745935747,0.67631157,0.683153618,0.628752102,0.746369376,0.645200887,0.770788005,0.656430018,0.727809033,0.638936541,0.762036306,0.675940606,0.650486849,0.68683849,0.588529458,0.618680602,0.682951855,,,,,,
22,0.667615365,0.739959645,0.673532498,0.68198156,0.628752102,0.746369376,0.642730761,0.774575803,0.655002731,0.729957806,0.638936541,0.762036306,0.674188178,0.652676949,0.686274046,0.590639162,0.618680602,0.682951855,,,,,,
23,0.661986142,0.74437934,0.668768591,0.686552586,0.628752102,0.746369376,0.640453865,0.776247101,0.653397012,0.729801531,0.638936541,0.762036306,0.671600168,0.657645965,0.685311317,0.594116268,0.618680602,0.682951855,,,,,,
24,0.656228809,0.748167137,0.664198351,0.692920769,0.628752102,0.746369376,0.639049732,0.777843002,0.651704967,0.731051727,0.638936541,0.762036306,0.670521275,0.655947739,0.684182006,0.599273324,0.618680602,0.682951855,,,,,,
25,0.650966625,0.757634835,0.659741724,0.697609001,0.628752102,0.746369376,0.638037775,0.778923691,0.65079276,0.732848883,0.638936541,0.762036306,0.666620064,0.669179897,0.683723098,0.598687295,0.618680602,0.682951855,,,,,,
26,0.645648435,0.761654208,0.656615883,0.697609001,0.628752102,0.746369376,0.636526079,0.781007877,0.649298865,0.733825598,0.638936541,0.762036306,0.664394852,0.667907125,0.682727158,0.602008126,0.618680602,0.682951855,,,,,,
27,0.641663898,0.765102719,0.653954464,0.701242382,0.628752102,0.746369376,0.6346436,0.782171144,0.648320186,0.734099078,0.638936541,0.762036306,0.660313911,0.685158657,0.682111466,0.603766213,0.618680602,0.682951855,,,,,,
28,0.637827897,0.768278365,0.651028037,0.704485076,0.628752102,0.746369376,0.634292299,0.781187394,0.647815734,0.735779028,0.638936541,0.762036306,0.65954644,0.683880499,0.681509674,0.604078762,0.618680602,0.682951855,,,,,,
29,0.634413266,0.771895622,0.648916799,0.706985466,0.628752102,0.746369376,0.632808198,0.78425174,0.646010166,0.736872949,0.638936541,0.762036306,0.657959222,0.677681796,0.681140584,0.604664791,0.618680602,0.682951855,,,,,,
30,0.631246046,0.775015618,0.64685694,0.707766839,0.628752102,0.746369376,0.632123871,0.785073925,0.645090336,0.73796687,0.638936541,0.762036306,0.652402955,0.698187961,0.681083941,0.605524301,0.618680602,0.682951855,,,,,,
31,0.628122705,0.777360103,0.644872969,0.710501641,0.628752102,0.746369376,0.631039646,0.78529473,0.644132578,0.739256134,0.638936541,0.762036306,0.651656541,0.689039802,0.681108356,0.606227536,0.618680602,0.682951855,,,,,,
32,0.626723178,0.777668871,0.644218516,0.711712768,0.628752102,0.746369376,0.630355584,0.787003727,0.643419522,0.738123144,0.638936541,0.762036306,0.649017637,0.696500506,0.680729157,0.607829348,0.618680602,0.682951855,,,,,,
33,0.624249725,0.775164617,0.641873205,0.714056884,0.628752102,0.746369376,0.629504156,0.787655371,0.642777568,0.738357556,0.638936541,0.762036306,0.644705407,0.70729124,0.681656414,0.608102829,0.618680602,0.682951855,,,,,,
34,0.621726249,0.780007971,0.640599477,0.715580559,0.628752102,0.746369376,0.628152573,0.790175783,0.642470157,0.736404126,0.638936541,0.762036306,0.64402611,0.70685322,0.682797128,0.606774496,0.618680602,0.682951855,,,,,,
35,0.620338955,0.780384955,0.639904714,0.71667448,0.628752102,0.746369376,0.627180027,0.790665862,0.641786247,0.738318487,0.638936541,0.762036306,0.63986167,0.709151031,0.68265608,0.609431161,0.618680602,0.682951855,,,,,,
36,0.618067097,0.78441869,0.64023385,0.716557275,0.628752102,0.746369376,0.627446764,0.790610212,0.641671479,0.734411627,0.638936541,0.762036306,0.64042377,0.702234262,0.683641452,0.608259103,0.618680602,0.682951855,,,,,,
37,0.616872647,0.785341404,0.639134389,0.71753399,0.628752102,0.746369376,0.626902929,0.793534535,0.641449267,0.734997656,0.638936541,0.762036306,0.637530895,0.708131377,0.6844657,0.605954055,0.618680602,0.682951855,,,,,,
38,0.615006926,0.783863984,0.636677217,0.717651195,0.628752102,0.746369376,0.625512392,0.793773292,0.640870422,0.735114862,0.638936541,0.762036306,0.63326661,0.720634698,0.684887379,0.607946554,0.618680602,0.682951855,,,,,,
39,0.612571283,0.788166993,0.63624478,0.719370214,0.628752102,0.746369376,0.625991659,0.794092832,0.64055714,0.733903735,0.638936541,0.762036306,0.633380369,0.71263724,0.685943526,0.607204251,0.618680602,0.682951855,,,,,,
40,0.611183386,0.790495322,0.636321282,0.718979528,0.628752102,0.746369376,0.624974412,0.796383462,0.640750873,0.731637756,0.638936541,0.762036306,0.630979004,0.714260069,0.686863583,0.603609939,0.618680602,0.682951855,,,,,,
41,0.611054234,0.786626742,0.63482883,0.72089389,0.628752102,0.746369376,0.623818645,0.797103322,0.640476906,0.731481481,0.638936541,0.762036306,0.627738381,0.720004596,0.688424385,0.605289889,0.618680602,0.682951855,,,,,,
42,0.60775873,0.79499939,0.633901656,0.72003438,0.628752102,0.746369376,0.623810247,0.797514415,0.6403301,0.730778247,0.638936541,0.762036306,0.625022508,0.726880076,0.69027226,0.602398812,0.618680602,0.682951855,,,,,,
43,0.607674368,0.790319396,0.636472529,0.717455852,0.628752102,0.746369376,0.623749515,0.798180421,0.640591305,0.728668542,0.638936541,0.762036306,0.622095941,0.727788429,0.691537648,0.601929989,0.618680602,0.682951855,,,,,,
44,0.60860731,0.786264119,0.632788825,0.719839037,0.628752102,0.746369376,0.623359768,0.798858993,0.640299338,0.729879669,0.638936541,0.762036306,0.618840549,0.733024924,0.692954332,0.600054696,0.618680602,0.682951855,,,,,,
45,0.605182007,0.796598881,0.632603157,0.719917175,0.628752102,0.746369376,0.62241638,0.79958424,0.640490294,0.728629473,0.638936541,0.762036306,0.622040282,0.729716436,0.69311977,0.598999844,0.618680602,0.682951855,,,,,,
46,0.603457286,0.796304474,0.631836879,0.720581341,0.628752102,0.746369376,0.622824207,0.798858993,0.640690154,0.726636975,0.638936541,0.762036306,0.619788352,0.727892549,0.695596731,0.599507736,0.618680602,0.682951855,,,,,,
47,0.603951854,0.793520174,0.63287288,0.719682763,0.628752102,0.746369376,0.622167302,0.800392064,0.640197176,0.72620722,0.638936541,0.762036306,0.615463764,0.738412213,0.696648574,0.599429598,0.618680602,0.682951855,,,,,,
48,0.602923438,0.795252508,0.631899321,0.719057665,0.628752102,0.746369376,0.622005648,0.800530292,0.640480959,0.72452727,0.638936541,0.762036306,0.614165144,0.737369222,0.699358773,0.598726363,0.618680602,0.682951855,,,,,,
49,0.601790954,0.793505813,0.63348099,0.719448351,0.628752102,0.746369376,0.621679158,0.800471051,0.640092474,0.726558837,0.638936541,0.762036306,0.618353515,0.728754228,0.699336833,0.598296609,0.618680602,0.682951855,,,,,,
50,0.60153654,0.794809102,0.630103493,0.721792468,0.628752102,0.746369376,0.621550811,0.800997034,0.640214127,0.725660259,0.638936541,0.762036306,0.608665941,0.741661461,0.698638082,0.596694796,0.618680602,0.682951855,,,,,,
