epoch,train_loss,validation_loss,test_loss
1,0.16687266407317894,0.08199986235962974,0.11775312572717667
2,0.08988529192500336,0.055609025061130524,0.06447938001818126
3,0.08150849430713543,0.05289259345995055,0.05838138941261503
4,0.07704619725429734,0.05159693666630321,0.057275335407919355
5,0.07284654157106267,0.049883262150817446,0.05397494468424055
6,0.07008510776037394,0.04898719241221746,0.05340970473157035
7,0.06898697573951511,0.04736148317654928,0.049700941062635846
8,0.0651604249033817,0.04737192806270388,0.050649831278456584
9,0.06234293452702289,0.04656479383508364,0.04903480100135008
10,0.05983704085959945,0.04559860502680143,0.04688963604470094
11,0.06190969768998235,0.04659760743379593,0.04912927084498935
12,0.058457635429709456,0.04531559016969469,0.04655669836534394
13,0.05607237718826116,0.044097782837020025,0.043866970472865634
14,0.05562538982823838,0.044179600973924,0.04413894315560659
15,0.05761942917177843,0.0438790726992819,0.04369916063215998
16,0.056991427617017615,0.043721510304345026,0.043509263545274734
17,0.05349070162967194,0.04406380198068089,0.04405811491111914
18,0.052060208868148716,0.04384595238500171,0.043651472156246506
19,0.05314043489133203,0.04335874650213453,0.0426841349237495
20,0.05315292656941469,0.04319637993143664,0.04260529432859686
21,0.052778919205762616,0.042541422984666295,0.04142071555058161
22,0.05253420471278734,0.041682303986615606,0.039567831696735487
23,0.0498991007808336,0.04195413697097036,0.04028898891475466
24,0.05050486083640609,0.042186570457286306,0.041003615077998906
25,0.0503811068659605,0.04160336156686147,0.0398390247590012
26,0.048252771283651505,0.04119339274863402,0.03889722666806645
27,0.04976595985854781,0.04173699166211817,0.039983663501011
28,0.04864790615474069,0.04124196825755967,0.03913863210214509
29,0.04884588103308234,0.04111099201771948,0.0389100317325857
30,0.047890865005726035,0.04058021576040321,0.03763683243758149
31,0.04733268483433613,0.04037222949167093,0.037265819393926196
32,0.04569609922378562,0.04027131054964331,0.037131874511639275
33,0.04647514518610267,0.040866076946258545,0.03855058654314942
34,0.04818764320293138,0.040581677522924214,0.03812573498321904
35,0.04733828901378221,0.040556120168831616,0.03810578357014391
36,0.047654407358793324,0.040633878774113126,0.03835509924425019
37,0.045796246679369795,0.039594669515887894,0.03597548935148451
38,0.04577449276003727,0.039737031070722476,0.03657151241269377
39,0.046168492543835975,0.039471361993087664,0.036154722794890404
40,0.045151888804380286,0.03964118349055449,0.03683550738626056
41,0.04440668892375259,0.039399922307994634,0.03641862277355459
42,0.0453678906656975,0.04008682072162628,0.03803050497339831
43,0.0448234332508819,0.03916461020708084,0.0361963069687287
44,0.04452979465036891,0.038909674104717046,0.03544393119712671
45,0.04319271401957024,0.03897916111681196,0.03578069040344821
46,0.04302622291237809,0.03864320698711607,0.035017689069112144
47,0.04309780718108942,0.038748644292354584,0.035450880933139056
48,0.045032299795123035,0.03837947526739703,0.03458593330449528
49,0.04407019826561906,0.03903505516548952,0.036277389567759305
50,0.043820835606649865,0.03855505275229613,0.03540592392285665
