epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,test_loss,test_accuracy
1,0.7019342378429745,0.5,0.6940414667129516,0.45,,
2,0.6983951589335566,0.5217391304347826,0.7000404000282288,0.45,,
3,0.6882073127705118,0.5652173913043478,0.7066492557525634,0.4,0.6870555341243744,0.6
